Initials,Name,Affiliation,Role,Working Group
AD,Abdoulaye Diack,Google,,Bloom
AT,Akosua Twumasi,Ghana Health Service,,OpenCV
AS,Aviya Skowron,Eleuther AI,,Pythia
BG,Bastien Guerry,DINUM French public administration,,Lllama
CFQ,Caleb Fianku Quao,Kwame Nkrumah University of Science and Technology Kumasi,,Bloom
CO,Cailean Osborne,Researcher Linux Foundation,,Pythia
DB,Daniel Brumund,GIZ FAIR Forward - Artificial Intelligence for All,,Bloom
DC,Danish Contractor,BLOOM Model Governance Working Group,,Bloom
DG,Deshni Govender,GIZ FAIR Forward - Artificial Intelligence for All,,Bloom
DM,David Manset,International Telecommunication Union,,OpenCV
DT,Davide Testuggine,Meta,,Lllama
EL,Ezequiel Lanza,Intel,,Lllama
GCGB,George C. G. Barbosa,Fundação Oswaldo Cruz,,Bloom
IE,Ignatius Ezeani,Lancaster University,,OpenCV
JC,Justin Colannino,Microsoft,,Pythia
JL,Jaan Li,University of Tartu Phare Health,,Bloom
JPL,Jean-Pierre Lorre,LINAGORA OpenLLM-France,,Bloom
JT,Jonathan Torres,Meta,,Lllama
KH,Kevin Harerimana,Carnegie Mellon University Africa,,OpenCV
MAT,Minyechil Alehegn Tefera,Mizan Tepi University,,OpenCV
MJ,Mer Joyce,Do Big Good,facilitator,Lllama
OP,Ofentse Phuti,Women in Machine Learning and Data Science Gaborone,,Bloom
PN,Phil Nelson,OpenCV,,OpenCV
RA,Rahmat Akintola,Cubeseed Africa,,OpenCV
RS,Roman Shaposhnik,Apache Software Foundation,,Lllama
SB,Stella Biderman,Eleuther AI,,Pythia
SH,Seo-Young Isabelle Hwang,Samsung,,Pythia
SM,Stefano Maffulli,Open Source Initiative,convener,Lllama
SMallick,Satya Mallick,OpenCV,,OpenCV
SZ,Stefano Zacchiroli,Polytechnic Institute of Paris,,Lllama
TM,Tlamelo Makati,WiMLDS Gaborone Technological University Dublin,,OpenCV
